
# S-000000019030158 260524
G108_100_G	2	270524	06.17	2682.8359	0.0256	-1.08	2681.7600	27.434135	85.038033	452.7
G108_100_G	2	270524	06.18	2682.8344	0.0552	-1.08	2681.7592	27.434135	85.038033	452.8

# S-000000019030158 270524
G107_111_G	5	270524	08.08	2714.8436	0.0467	-1.02	2713.8277	27.166245	84.976486	122.1
G107_111_G	5	270524	08.09	2714.8450	0.0566	-1.02	2713.8296	27.166250	84.976486	122.0
G107_111_G	5	270524	08.10	2714.8483	0.0502	-1.02	2713.8329	27.166250	84.976501	121.9
G107_111_G	5	270524	08.11	2714.8449	0.0313	-1.02	2713.8287	27.166258	84.976501	121.5
G107_111_G	5	270524	08.12	2714.8451	0.0470	-1.02	2713.8288	27.166260	84.976501	121.3
G113_102_G	6	270524	08.43	2720.0309	0.0525	-1.01	2719.0207	27.111261	84.923141	83.9
G113_102_G	6	270524	08.44	2720.0292	0.0560	-1.01	2719.0188	27.111259	84.923134	86.1
G113_102_G	6	270524	08.45	2720.0290	0.0460	-1.01	2719.0177	27.111256	84.923134	85.2
G113_102_G	6	270524	08.46	2720.0298	0.0673	-1.01	2719.0179	27.111256	84.923134	85.0
G113_102_G	6	270524	08.47	2720.0286	0.0468	-1.01	2719.0163	27.111256	84.923134	84.9
G113_101_G	7	270524	11.11	2726.2047	0.0768	-1.07	2725.1343	27.061649	84.768227	59.9
G113_101_G	7	270524	11.12	2726.2072	0.0359	-1.07	2725.1349	27.061649	84.768227	60.2
G113_101_G	7	270524	11.13	2726.2101	0.0658	-1.07	2725.1369	27.061649	84.768227	59.9
G113_101_G	7	270524	11.14	2726.2121	0.0567	-1.07	2725.1375	27.061649	84.768227	59.7
G113_101_G	7	270524	11.15	2726.2129	0.0488	-1.08	2725.1364	27.061649	84.768227	59.6
G113_102_G	6	270524	12.40	2720.1674	0.0464	-1.14	2719.0272	27.111246	84.923103	78.8
G113_102_G	6	270524	12.41	2720.1656	0.0524	-1.14	2719.0240	27.111246	84.923103	78.8
G113_102_G	6	270524	12.42	2720.1677	0.0357	-1.14	2719.0238	27.111246	84.923103	78.8
G113_102_G	6	270524	12.43	2720.1685	0.0369	-1.15	2719.0227	27.111250	84.923103	78.6
G113_102_G	6	270524	12.44	2720.1708	0.0406	-1.15	2719.0233	27.111250	84.923103	78.6
